model,seed,n_train,n_test,best_params,elapsed_sec,precision_bug,recall_bug,f1_bug,precision_clean,recall_clean,f1_clean,f1_macro,gmean_recall,roc_auc
LogisticRegression,20,3500,1500,"{'C': 10.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",8.538557899999432,0.6864864864864865,0.6773333333333333,0.6818791946308724,0.6815789473684211,0.6906666666666667,0.686092715231788,0.6839859549313303,0.6839675105994111,0.7623964444444444
RandomForest,21,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.40717559994664,0.8148614609571788,0.8626666666666667,0.8380829015544041,0.8541076487252125,0.804,0.8282967032967034,0.8331898024255537,0.8328169066487544,0.9145271111111112
LogisticRegression,21,3500,1500,"{'C': 10.0, 'l1_ratio': 0.5, 'penalty': 'elasticnet', 'solver': 'saga'}",7.426981800002977,0.7006622516556291,0.7053333333333334,0.7029900332225913,0.7033557046979866,0.6986666666666667,0.7010033444816054,0.7019966888520983,0.7019920860585886,0.7747662222222222
RandomForest,22,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.28960749995895,0.8288633461047255,0.8653333333333333,0.8467058056099152,0.8591352859135286,0.8213333333333334,0.8398091342876619,0.8432574699487885,0.8430463279743949,0.916128
LogisticRegression,22,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",5.699999299948104,0.7023195876288659,0.7266666666666667,0.7142857142857143,0.7168508287292817,0.692,0.7042062415196744,0.7092459779026943,0.7091215222607006,0.7865920000000001
RandomForest,23,3500,1500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.53317009995226,0.8126550868486352,0.8733333333333333,0.8419023136246787,0.8631123919308358,0.7986666666666666,0.8296398891966759,0.8357711014106772,0.8351659848330882,0.9082515555555556
LogisticRegression,23,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",6.301589800044894,0.7040417209908736,0.72,0.7119314436387607,0.713506139154161,0.6973333333333334,0.7053270397842212,0.708629241711491,0.7085760368513742,0.7787839999999999
RandomForest,24,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",100.53460629994515,0.8163265306122449,0.8533333333333334,0.834419817470665,0.8463687150837989,0.808,0.8267394270122783,0.8305796222414716,0.8303573527905521,0.9110986666666667
LogisticRegression,24,3500,1500,"{'C': 1.0, 'penalty': 'l1', 'solver': 'liblinear'}",7.869715999928303,0.684913217623498,0.684,0.6844563042028019,0.6844207723035952,0.6853333333333333,0.6848767488341105,0.6846665265184562,0.684666342096645,0.7559431111111111
RandomForest,25,3500,1500,"{'max_depth': 21, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",100.43907480000053,0.7922705314009661,0.8746666666666667,0.8314321926489227,0.8601190476190477,0.7706666666666667,0.8129395218002813,0.8221858572246019,0.8210215858577925,0.9040577777777778
